"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9574126010661","9574125010661","1320347010538","",1985,25,1,1,2,2,,1984,5,0,12,0,101,,,41.75011,-70.47169,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574128010661","9574125010661","1320347010538","",1985,25,1,1,4,1,,1984,5,0,12,0,101,,,41.61122,-70.47169,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574151010661","9574125010661","1320347010538","",1985,25,1,1,5,2,,1984,5,0,12,0,101,,,41.58344,-70.47169,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574153010661","9574125010661","1320347010538","",1985,25,1,1,8,1,,1984,5,0,12,0,101,,,41.75011,-70.49947,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574186010661","9574125010661","1320347010538","",1985,25,1,1,9,1,,1984,6,0,12,0,101,,,41.69455,-70.55503,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574188010661","9574125010661","1320347010538","",1985,25,1,1,10,1,,1984,5,0,12,0,101,,,41.66677,-70.58281,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574201010661","9574125010661","1320347010538","",1985,25,1,1,12,2,,1984,5,0,12,0,101,,,41.61122,-70.63836,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574218010661","9574125010661","1320347010538","",1985,25,1,1,13,1,,1984,5,0,12,0,101,,,41.66678,-70.16613,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574251010661","9574125010661","1320347010538","",1985,25,1,1,14,2,,1984,5,0,12,0,101,,,41.66678,-70.24946,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574253010661","9574125010661","1320347010538","",1985,25,1,1,15,2,,1984,5,0,12,0,101,,,41.639,-70.3328,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574255010661","9574125010661","1320347010538","",1985,25,1,1,17,1,,1984,5,0,12,0,101,,,41.75011,-69.99946,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574281010661","9574125010661","1320347010538","",1985,25,1,1,19,1,,1984,5,0,12,0,101,,,41.75011,-70.05502,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574318010661","9574125010661","1320347010538","",1985,25,1,1,21,2,,1984,5,0,12,0,101,,,41.66678,-70.11057,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574320010661","9574125010661","1320347010538","",1985,25,1,1,22,2,,1984,5,0,12,0,101,,,41.639,-70.22169,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574322010661","9574125010661","1320347010538","",1985,25,1,1,23,2,,1984,5,0,12,0,101,,,41.66678,-70.22169,,2,2,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574324010661","9574125010661","1320347010538","",1985,25,1,1,43,2,,1984,5,0,,0,101,,,41.66677,-70.58281,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574326010661","9574125010661","1320347010538","",1985,25,1,1,44,1,,1984,5,0,,0,101,,,41.72233,-70.58281,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
