"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"21860","153648002020004","64010497","",2001,53,5,29,6,1,,2001,12,1,,0,558,,,48.304264,-122.70211,197,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21863","153648002020004","64010497","",2001,53,5,29,10,2,,2001,10,26,,0,558,,,48.256763,-122.696281,98,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21864","153648002020004","64010497","",2001,53,5,29,11,1,,2000,8,1,,0,558,,,48.189274,-122.127914,197,,,,," 242Ab",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21865","153648002020004","64010497","",2001,53,5,29,15,1,,2000,8,3,,0,558,,,48.189541,-122.762115,98,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21866","153648002020004","64010497","",2001,53,5,29,16,2,,2001,10,26,,0,558,,,48.237049,-122.695442,98,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21869","153648002020004","64010497","",2001,53,5,29,21,2,,2000,8,3,,0,558,,,48.185379,-122.614891,197,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21873","153648002020004","64010497","",2001,53,5,29,32,1,,2000,8,8,,0,558,,,48.040657,-122.37542,197,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"21874","153648002020004","64010497","",2001,53,5,29,34,1,,2000,8,2,,0,558,,,47.970654,-122.400139,394,,,,," 242Ad",5302,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"32198","153648002020004","64010497","",2001,53,5,29,99799,2,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32000","153648002020004","64010497","",2001,53,5,29,99897,2,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
